Stock,OBV_Value,Stocks_Ranked
MSFT,542559.0,1.0
CRM,509090.0,2.0
FB,456959.0,3.0
CMCSA,395375.0,4.0
BABA,385256.0,5.0
ABT,367246.0,6.0
MRK,313125.0,7.0
VZ,293822.0,8.0
JNJ,244971.0,9.0
PG,199017.0,10.0
AAPL,192736.0,11.0
NKE,187672.0,12.0
JPM,116561.0,13.0
TSM,98613.0,14.0
WMT,93584.0,15.0
MA,71151.0,16.0
V,67844.0,17.0
DIS,56183.0,18.0
NVDA,54332.0,19.0
MCD,47618.0,20.0
TSLA,37675.0,21.0
ACN,33929.0,22.0
PEP,26695.0,23.0
NFLX,19566.0,24.0
ADBE,13623.0,25.0
TMO,13357.0,26.0
COST,13248.0,27.0
HD,9638.0,28.0
GOOG,4190.0,29.0
GOOGL,2510.0,30.0
ASML,2354.0,31.0
TM,2113.0,32.0
AMZN,866.0,33.0
SAP,-10949.0,34.0
UNH,-22612.0,35.0
NVO,-25803.0,36.0
UL,-33610.0,37.0
NVS,-35204.0,38.0
UN,-39415.0,39.0
PYPL,-48470.0,40.0
CSCO,-82755.0,41.0
CVX,-138812.0,42.0
KO,-186966.0,43.0
ABBV,-342952.0,44.0
ORCL,-580737.0,45.0
TV,-687814.0,46.0
INTC,-1179763.0,47.0
T,-1547789.0,48.0
PFE,-2327728.0,49.0
XOM,-3436080.0,50.0
BAC,-5826653.0,51.0
